,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Num Features,Score
108,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,28,0.6521215663046516
93,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,-,Y,Y,-,26,0.6521162118374714
74,Y,Y,-,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,27,0.6520266176129722
151,-,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,-,Y,Y,24,0.6520260014636434
204,-,Y,Y,Y,Y,Y,Y,-,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,27,0.6519094725977669
162,Y,Y,Y,Y,-,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,-,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,25,0.6518693392214583
129,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,-,Y,Y,Y,Y,27,0.65180734022048
215,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,-,Y,-,Y,Y,Y,Y,26,0.6517900486113074
229,Y,Y,-,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,26,0.6516194787881393
88,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,28,0.6516171648504152
54,Y,Y,Y,Y,Y,Y,Y,-,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,27,0.6516026831168545
211,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,-,Y,Y,Y,26,0.6515711931577577
122,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,28,0.6515352587636158
48,Y,-,Y,Y,Y,Y,-,-,-,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,-,Y,Y,Y,Y,-,Y,Y,Y,23,0.651402174969538
139,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,-,Y,Y,Y,Y,-,25,0.6513754041199974
230,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,27,0.6513634570017965
113,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,28,0.6513628574018192
104,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,-,Y,-,Y,-,25,0.6513509658256392
76,Y,Y,Y,Y,-,Y,Y,-,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,26,0.6512329302813584
159,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,27,0.6512220185130216
39,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,28,0.6511695509898615
87,Y,Y,Y,Y,Y,Y,Y,-,-,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,-,Y,Y,25,0.6509279566615452
200,Y,Y,Y,Y,Y,Y,-,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,27,0.6508165934097017
207,-,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,26,0.6508088496532434
36,-,Y,-,Y,Y,Y,-,-,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,-,Y,-,Y,Y,22,0.6507984339429705
124,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,28,0.6505841358864267
46,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,-,Y,25,0.6504685168835097
109,Y,Y,-,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,-,Y,-,25,0.6503998542898082
143,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,27,0.6503796064378733
